"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.Scout$2.getPreferredSize ()","2,519 ms (0.6%)","1,218 ms (63.6%)","2,519 ms (0.3%)","1,218 ms (53.8%)","98"
"plugin.AppiumPlugin.byteArrayToBufferedImage (byte[])","944 ms (0.2%)","156 ms (8.1%)","944 ms (0.1%)","156 ms (6.9%)","30"
"com.symatiq.utils.QuickSort.quicksort (com.symatiq.widgets.Widget[], int, int)","106 ms (0%)","90.6 ms (4.7%)","1,959 ms (0.2%)","0.0 ms (0%)","1,474,005"
"plugin.utils.Drawing.drawOval (java.awt.Graphics2D, int, int, int, int, java.awt.Color, int, boolean, java.awt.BasicStroke, java.awt.Font)","430 ms (0.1%)","61.4 ms (3.2%)","430 ms (0%)","61.4 ms (2.7%)","9,958"
"com.symatiq.states.StateController.getRecommendedWidget ()","273 ms (0.1%)","41.8 ms (2.2%)","273 ms (0%)","41.8 ms (1.8%)","13,388,656"
"com.symatiq.widgets.Widget.getArea ()","84.0 ms (0%)","38.7 ms (2%)","84.0 ms (0%)","38.7 ms (1.7%)","3,776,258"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","524 ms (0.1%)","33.6 ms (1.8%)","1,853 ms (0.2%)","20.1 ms (0.9%)","727,083"
"com.symatiq.widgets.Widget.compareTo (Object)","947 ms (0.2%)","32.2 ms (1.7%)","1,304 ms (0.1%)","18.3 ms (0.8%)","13,388,656"
"org.openqa.selenium.remote.RemoteWebDriver.getScreenshotAs (org.openqa.selenium.OutputType)","69.5 ms (0%)","31.2 ms (1.6%)","10,102 ms (1.1%)","0.0 ms (0%)","30"
"plugin.StateGraph.drawCircle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, java.awt.BasicStroke, java.awt.BasicStroke, boolean)","219 ms (0.1%)","30.3 ms (1.6%)","219 ms (0%)","30.3 ms (1.3%)","19,349"
"plugin.AugmentState.drawRectangle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, boolean, java.awt.BasicStroke, java.awt.BasicStroke)","328 ms (0.1%)","29.7 ms (1.6%)","333 ms (0%)","19.0 ms (0.8%)","2,875"
"org.openqa.selenium.json.JsonInput.skipWhitespace (org.openqa.selenium.json.Input)","4.59 ms (0%)","15.6 ms (0.8%)","13.2 ms (0%)","15.6 ms (0.7%)","59,082"
"org.openqa.selenium.remote.http.HttpMessage.lambda$getHeader$6 (String, java.util.Map.Entry)","0.464 ms (0%)","15.6 ms (0.8%)","0.464 ms (0%)","15.6 ms (0.7%)","5,180"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.lambda$createResponse$4 (org.openqa.selenium.remote.http.HttpResponse, String, java.util.List)","2.0 ms (0%)","15.6 ms (0.8%)","3.48 ms (0%)","15.5 ms (0.7%)","2,243"
"com.symatiq.states.StateController.getMouseScaledX ()","1.13 ms (0%)","15.5 ms (0.8%)","1.77 ms (0%)","15.4 ms (0.7%)","10,326"
"plugin.StateGraph.drawLine (java.awt.Graphics2D, int, int, int, int, java.awt.Color, java.awt.BasicStroke, java.awt.BasicStroke)","22.4 ms (0%)","15.3 ms (0.8%)","22.4 ms (0%)","15.3 ms (0.7%)","14,370"
"com.symatiq.states.AppState.getIssues ()","2.73 ms (0%)","15.2 ms (0.8%)","2.73 ms (0%)","15.2 ms (0.7%)","17,128"
"com.symatiq.Scout$MyMouseListener.mouseMoved (java.awt.event.MouseEvent)","42.3 ms (0%)","15.1 ms (0.8%)","42.3 ms (0%)","15.1 ms (0.7%)","4,479"
"com.symatiq.states.StateController.getSystemProperty (String, String)","14.5 ms (0%)","15.1 ms (0.8%)","14.5 ms (0%)","15.1 ms (0.7%)","208,935"
"com.symatiq.utils.QuickSort.exchange (Object[], int, int)","23.6 ms (0%)","14.9 ms (0.8%)","23.6 ms (0%)","14.9 ms (0.7%)","1,047,326"
"org.openqa.selenium.json.JsonInput.peek ()","4.89 ms (0%)","12.9 ms (0.7%)","19.9 ms (0%)","19.8 ms (0.9%)","48,285"
"com.symatiq.extension.PluginThreads.callMethod (String, String, java.awt.Graphics)","124 ms (0%)","1.68 ms (0.1%)","3,437 ms (0.4%)","0.0 ms (0%)","54,769"
"org.openqa.selenium.remote.ElementLocation$ElementFinder.massage (org.openqa.selenium.remote.RemoteWebDriver, org.openqa.selenium.SearchContext, org.openqa.selenium.WebElement, org.openqa.selenium.By)","0.224 ms (0%)","0.0 ms (0%)","2.61 ms (0%)","0.0 ms (0%)","1,616"
"org.openqa.selenium.net.Urls.urlEncode (String)","0.321 ms (0%)","0.0 ms (0%)","0.321 ms (0%)","0.0 ms (0%)","414"
"com.symatiq.extension.PluginThreads$CallMethodThread.run ()","0.084 ms (0%)","0.0 ms (0%)","1.90 ms (0%)","0.0 ms (0%)","32"
"org.openqa.selenium.json.CollectionCoercer.lambda$apply$1 (java.lang.reflect.Type, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","0.968 ms (0%)","0.0 ms (0%)","50.9 ms (0%)","0.0 ms (0%)","30"
"org.openqa.selenium.json.CollectionCoercer.lambda$apply$0 (java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting, org.openqa.selenium.json.JsonInput)","0.222 ms (0%)","0.0 ms (0%)","48.8 ms (0%)","0.0 ms (0%)","1,616"
"org.openqa.selenium.json.JsonOutput$Root.write (String)","0.018 ms (0%)","0.0 ms (0%)","0.138 ms (0%)","0.0 ms (0%)","31"
