"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.Scout$2.getPreferredSize ()","2,162 ms (0.5%)","1,171 ms (62.1%)","2,162 ms (0.2%)","1,171 ms (61.1%)","86"
"plugin.AppiumPlugin.byteArrayToBufferedImage (byte[])","738 ms (0.2%)","265 ms (14.1%)","738 ms (0.1%)","265 ms (13.9%)","30"
"plugin.StateGraph.drawCircle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, java.awt.BasicStroke, java.awt.BasicStroke, boolean)","391 ms (0.1%)","92.0 ms (4.9%)","391 ms (0%)","92.0 ms (4.8%)","30,377"
"com.symatiq.widgets.Widget.compareTo (Object)","790 ms (0.2%)","51.7 ms (2.7%)","1,091 ms (0.1%)","14.8 ms (0.8%)","11,393,388"
"com.symatiq.utils.QuickSort.quicksort (com.symatiq.widgets.Widget[], int, int)","92.3 ms (0%)","47.4 ms (2.5%)","1,659 ms (0.1%)","0.0 ms (0%)","1,291,059"
"com.symatiq.states.StateController.getRecommendedWidget ()","229 ms (0.1%)","41.2 ms (2.2%)","229 ms (0%)","41.2 ms (2.2%)","11,393,388"
"org.openqa.selenium.remote.RemoteWebDriver.getScreenshotAs (org.openqa.selenium.OutputType)","75.1 ms (0%)","31.2 ms (1.7%)","9,501 ms (0.7%)","0.0 ms (0%)","30"
"plugin.AugmentState.drawRectangle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, boolean, java.awt.BasicStroke, java.awt.BasicStroke)","264 ms (0.1%)","29.8 ms (1.6%)","269 ms (0%)","19.6 ms (1%)","2,721"
"com.symatiq.utils.QuickSort.exchange (Object[], int, int)","20.3 ms (0%)","29.6 ms (1.6%)","20.3 ms (0%)","29.6 ms (1.5%)","899,315"
"com.symatiq.widgets.Widget.getArea ()","71.1 ms (0%)","20.0 ms (1.1%)","71.1 ms (0%)","20.0 ms (1%)","3,290,612"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","454 ms (0.1%)","16.5 ms (0.9%)","1,566 ms (0.1%)","0.0 ms (0%)","636,047"
"org.openqa.selenium.remote.http.Filter.lambda$andFinally$1 (org.openqa.selenium.remote.http.HttpHandler, org.openqa.selenium.remote.http.HttpRequest)","1.91 ms (0%)","15.6 ms (0.8%)","77,658 ms (6%)","15.4 ms (0.8%)","453"
"org.openqa.selenium.remote.http.HttpMessage.getHeader (String)","7.92 ms (0%)","15.6 ms (0.8%)","10.2 ms (0%)","15.5 ms (0.8%)","2,265"
"com.symatiq.gui.Toolbar.fillRectangle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, int)","87.1 ms (0%)","15.5 ms (0.8%)","87.1 ms (0%)","15.5 ms (0.8%)","658"
"plugin.StateGraph.drawText (java.awt.Graphics2D, String, int, int)","40.6 ms (0%)","15.1 ms (0.8%)","40.6 ms (0%)","15.1 ms (0.8%)","4,751"
"plugin.HoverInfo.drawTextBox (java.awt.Graphics2D, String, int, int, int, int)","22.5 ms (0%)","13.2 ms (0.7%)","43.6 ms (0%)","3.19 ms (0.2%)","3,864"
"plugin.AugmentState.paintCapture (java.awt.Graphics)","12.3 ms (0%)","9.52 ms (0.5%)","922 ms (0.1%)","0.0 ms (0%)","4,751"
"org.openqa.selenium.json.Input.read ()","1,012 ms (0.2%)","3.87 ms (0.2%)","1,439 ms (0.1%)","0.0 ms (0%)","21,613,856"
"org.openqa.selenium.remote.ElementLocation$ElementFinder.massage (org.openqa.selenium.remote.RemoteWebDriver, org.openqa.selenium.SearchContext, org.openqa.selenium.WebElement, org.openqa.selenium.By)","0.225 ms (0%)","0.0 ms (0%)","2.59 ms (0%)","0.0 ms (0%)","1,611"
"org.openqa.selenium.net.Urls.urlEncode (String)","0.616 ms (0%)","0.0 ms (0%)","0.616 ms (0%)","0.0 ms (0%)","672"
"com.symatiq.extension.PluginThreads$CallMethodThread.run ()","0.249 ms (0%)","0.0 ms (0%)","1.83 ms (0%)","0.0 ms (0%)","26"
"org.openqa.selenium.json.CollectionCoercer.lambda$apply$0 (java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting, org.openqa.selenium.json.JsonInput)","0.142 ms (0%)","0.0 ms (0%)","51.5 ms (0%)","0.0 ms (0%)","1,611"
"org.openqa.selenium.json.CollectionCoercer.lambda$apply$1 (java.lang.reflect.Type, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","1.0 ms (0%)","0.0 ms (0%)","53.6 ms (0%)","0.0 ms (0%)","30"
"org.openqa.selenium.json.JsonOutput$Root.write (String)","0.020 ms (0%)","0.0 ms (0%)","0.099 ms (0%)","0.0 ms (0%)","31"
"com.symatiq.actions.MoveAction.clone (com.symatiq.actions.MoveAction)","0.011 ms (0%)","0.0 ms (0%)","0.166 ms (0%)","0.0 ms (0%)","14"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$buildCoercer$6 (java.util.function.BiFunction, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","3.18 ms (0%)","0.0 ms (0%)","2,256 ms (0.2%)","0.0 ms (0%)","18,167"
"org.openqa.selenium.json.JsonTypeCoercer.coerce (org.openqa.selenium.json.JsonInput, java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting)","3.22 ms (0%)","0.0 ms (0%)","2,258 ms (0.2%)","0.0 ms (0%)","18,167"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$new$2 (java.util.LinkedHashMap, java.util.Map.Entry)","0.996 ms (0%)","0.0 ms (0%)","0.996 ms (0%)","0.0 ms (0%)","3,757"
"com.symatiq.states.AppState.addIteration ()","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","1"
