"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.Scout$2.getPreferredSize ()","3,090 ms (0.6%)","1,890 ms (67.3%)","3,090 ms (0.2%)","1,890 ms (58.2%)","122"
"plugin.AppiumPlugin.byteArrayToBufferedImage (byte[])","632 ms (0.1%)","203 ms (7.2%)","632 ms (0%)","203 ms (6.3%)","31"
"com.symatiq.utils.QuickSort.quicksort (com.symatiq.widgets.Widget[], int, int)","121 ms (0%)","107 ms (3.8%)","2,967 ms (0.2%)","0.0 ms (0%)","1,814,828"
"com.symatiq.states.StateController.getRecommendedWidget ()","415 ms (0.1%)","84.3 ms (3%)","415 ms (0%)","84.3 ms (2.6%)","20,568,408"
"com.symatiq.widgets.Widget.compareTo (Object)","1,444 ms (0.3%)","70.1 ms (2.5%)","2,020 ms (0.1%)","68.6 ms (2.1%)","20,568,408"
"plugin.StateGraph.drawCircle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, java.awt.BasicStroke, java.awt.BasicStroke, boolean)","324 ms (0.1%)","61.2 ms (2.2%)","324 ms (0%)","61.2 ms (1.9%)","24,236"
"plugin.utils.Drawing.drawOval (java.awt.Graphics2D, int, int, int, int, java.awt.Color, int, boolean, java.awt.BasicStroke, java.awt.Font)","414 ms (0.1%)","45.7 ms (1.6%)","414 ms (0%)","45.7 ms (1.4%)","10,982"
"com.symatiq.widgets.Widget.getArea ()","160 ms (0%)","45.0 ms (1.6%)","160 ms (0%)","45.0 ms (1.4%)","7,208,794"
"org.openqa.selenium.json.JsonInput.skipWhitespace (org.openqa.selenium.json.Input)","8.80 ms (0%)","39.5 ms (1.4%)","25.4 ms (0%)","25.0 ms (0.8%)","108,732"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","790 ms (0.1%)","37.1 ms (1.3%)","2,845 ms (0.2%)","44.1 ms (1.4%)","896,539"
"plugin.AugmentState.drawRectangle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, boolean, java.awt.BasicStroke, java.awt.BasicStroke)","430 ms (0.1%)","30.0 ms (1.1%)","435 ms (0%)","21.5 ms (0.7%)","2,643"
"plugin.StateGraph.drawGraph (java.awt.Graphics2D, com.symatiq.states.AppState, int, int)","20.6 ms (0%)","24.0 ms (0.9%)","512 ms (0%)","6.58 ms (0.2%)","24,236"
"com.symatiq.extension.PluginThreads.callMethod (String, String, java.awt.Graphics)","115 ms (0%)","16.0 ms (0.6%)","4,736 ms (0.3%)","0.0 ms (0%)","59,895"
"org.openqa.selenium.remote.http.jdk.JdkHttpClient.execute0 (org.openqa.selenium.remote.http.HttpRequest)","119,359 ms (21.4%)","15.6 ms (0.6%)","119,416 ms (6.7%)","15.4 ms (0.5%)","1,265"
"org.openqa.selenium.json.JsonInputIterator.hasNext ()","0.976 ms (0%)","15.6 ms (0.6%)","11.1 ms (0%)","15.4 ms (0.5%)","13,224"
"org.openqa.selenium.remote.RemoteWebDriver.getScreenshotAs (org.openqa.selenium.OutputType)","26.2 ms (0%)","15.6 ms (0.6%)","5,082 ms (0.3%)","0.0 ms (0%)","31"
"com.symatiq.Scout.getScaledX (int)","52.9 ms (0%)","15.5 ms (0.6%)","52.9 ms (0%)","15.5 ms (0.5%)","5,703"
"org.openqa.selenium.json.Input.fill ()","206 ms (0%)","15.2 ms (0.5%)","206 ms (0%)","15.2 ms (0.5%)","10,551,263"
"plugin.HoverInfo.getMaxWidth (java.awt.Graphics2D, java.util.List)","6.41 ms (0%)","15.1 ms (0.5%)","6.41 ms (0%)","15.1 ms (0.5%)","4,157"
"com.symatiq.states.AppState.getVisibleWidgets ()","14.4 ms (0%)","15.0 ms (0.5%)","14.4 ms (0%)","15.0 ms (0.5%)","49,292"
"com.symatiq.utils.QuickSort.sort (java.util.List)","15.7 ms (0%)","14.4 ms (0.5%)","2,983 ms (0.2%)","0.0 ms (0%)","21,750"
"com.symatiq.utils.QuickSort.exchange (Object[], int, int)","34.6 ms (0%)","13.5 ms (0.5%)","34.6 ms (0%)","13.5 ms (0.4%)","1,545,381"
"org.openqa.selenium.json.MapCoercer.lambda$apply$1 (java.lang.reflect.Type, java.lang.reflect.Type, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","12.6 ms (0%)","11.8 ms (0.4%)","1,170 ms (0.1%)","28.3 ms (0.9%)","3,886"
"com.symatiq.Scout$2.paintComponent (java.awt.Graphics)","814 ms (0.1%)","6.2 ms (0.2%)","5,620 ms (0.3%)","0.0 ms (0%)","5,445"
"org.openqa.selenium.remote.ElementLocation$ElementFinder.massage (org.openqa.selenium.remote.RemoteWebDriver, org.openqa.selenium.SearchContext, org.openqa.selenium.WebElement, org.openqa.selenium.By)","0.296 ms (0%)","0.0 ms (0%)","3.96 ms (0%)","0.0 ms (0%)","2,601"
"org.openqa.selenium.net.Urls.urlEncode (String)","0.682 ms (0%)","0.0 ms (0%)","0.682 ms (0%)","0.0 ms (0%)","2,165"
"com.symatiq.extension.PluginThreads$CallMethodThread.run ()","0.035 ms (0%)","0.0 ms (0%)","1.63 ms (0%)","0.0 ms (0%)","40"
"org.openqa.selenium.json.CollectionCoercer.lambda$apply$0 (java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting, org.openqa.selenium.json.JsonInput)","0.269 ms (0%)","0.0 ms (0%)","83.1 ms (0%)","0.0 ms (0%)","2,601"
"org.openqa.selenium.json.CollectionCoercer.lambda$apply$1 (java.lang.reflect.Type, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","1.36 ms (0%)","0.0 ms (0%)","86.1 ms (0%)","0.0 ms (0%)","31"
"org.openqa.selenium.json.JsonOutput$Root.write (String)","0.027 ms (0%)","0.0 ms (0%)","0.121 ms (0%)","0.0 ms (0%)","33"
"com.symatiq.actions.MoveAction.clone (com.symatiq.actions.MoveAction)","0.033 ms (0%)","0.0 ms (0%)","0.475 ms (0%)","0.0 ms (0%)","52"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$buildCoercer$6 (java.util.function.BiFunction, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","5.79 ms (0%)","0.0 ms (0%)","1,173 ms (0.1%)","28.3 ms (0.9%)","31,845"
"org.openqa.selenium.json.JsonTypeCoercer.coerce (org.openqa.selenium.json.JsonInput, java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting)","4.97 ms (0%)","0.0 ms (0%)","1,175 ms (0.1%)","28.2 ms (0.9%)","31,845"
