"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.Scout$2.getPreferredSize ()","2,421 ms (0.5%)","1,328 ms (59%)","2,421 ms (0.1%)","1,328 ms (47%)","94"
"plugin.AppiumPlugin.byteArrayToBufferedImage (byte[])","630 ms (0.1%)","156 ms (6.9%)","630 ms (0%)","156 ms (5.5%)","31"
"com.symatiq.widgets.Widget.compareTo (Object)","1,459 ms (0.3%)","124 ms (5.5%)","2,024 ms (0.1%)","164 ms (5.8%)","21,283,339"
"com.symatiq.states.StateController.getRecommendedWidget ()","424 ms (0.1%)","122 ms (5.5%)","424 ms (0%)","122 ms (4.4%)","21,283,339"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","784 ms (0.1%)","98.3 ms (4.4%)","2,845 ms (0.1%)","172 ms (6.1%)","884,428"
"plugin.utils.Drawing.drawOval (java.awt.Graphics2D, int, int, int, int, java.awt.Color, int, boolean, java.awt.BasicStroke, java.awt.Font)","553 ms (0.1%)","76.9 ms (3.4%)","553 ms (0%)","76.9 ms (2.7%)","11,165"
"com.symatiq.widgets.Widget.getArea ()","140 ms (0%)","57.3 ms (2.5%)","140 ms (0%)","57.3 ms (2%)","6,878,068"
"plugin.StateGraph.drawCircle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, java.awt.BasicStroke, java.awt.BasicStroke, boolean)","400 ms (0.1%)","45.6 ms (2%)","400 ms (0%)","45.6 ms (1.6%)","30,507"
"com.symatiq.utils.QuickSort.quicksort (com.symatiq.widgets.Widget[], int, int)","123 ms (0%)","42.9 ms (1.9%)","2,969 ms (0.2%)","0.0 ms (0%)","1,790,942"
"com.symatiq.utils.QuickSort.exchange (Object[], int, int)","35.7 ms (0%)","25.7 ms (1.1%)","35.7 ms (0%)","25.7 ms (0.9%)","1,514,414"
"org.openqa.selenium.remote.http.jdk.JdkHttpClient.execute0 (org.openqa.selenium.remote.http.HttpRequest)","136,974 ms (25.5%)","15.6 ms (0.7%)","137,056 ms (7.1%)","30.8 ms (1.1%)","1,848"
"org.openqa.selenium.json.JsonOutput.endObject ()","0.374 ms (0%)","15.6 ms (0.7%)","0.394 ms (0%)","15.6 ms (0.6%)","45"
"org.openqa.selenium.remote.http.HttpMessage.setContent (org.openqa.selenium.remote.http.Contents.Supplier)","0.783 ms (0%)","15.6 ms (0.7%)","0.984 ms (0%)","15.6 ms (0.6%)","1,881"
"org.openqa.selenium.json.JsonOutput.lambda$write0$32 (Object, java.util.Map.Entry)","0.832 ms (0%)","15.5 ms (0.7%)","3.34 ms (0%)","15.4 ms (0.5%)","1,098"
"com.symatiq.extension.PluginThreads.startCallMethodThread (String, String, com.symatiq.actions.Action)","32.6 ms (0%)","15.5 ms (0.7%)","32.6 ms (0%)","15.5 ms (0.5%)","1,100"
"org.openqa.selenium.remote.JsonToWebElementConverter.apply (Object)","1.80 ms (0%)","14.7 ms (0.7%)","2.76 ms (0%)","12.3 ms (0.4%)","4,502"
"org.openqa.selenium.internal.Require.nonNull (String, Object)","1.10 ms (0%)","14.5 ms (0.6%)","1.10 ms (0%)","14.5 ms (0.5%)","54,400"
"com.symatiq.states.AppState.getLeafCount (java.util.IdentityHashMap)","12.6 ms (0%)","14.0 ms (0.6%)","56.1 ms (0%)","7.81 ms (0.3%)","78,936"
"plugin.StateGraph.drawGraph (java.awt.Graphics2D, com.symatiq.states.AppState, int, int)","22.3 ms (0%)","10.2 ms (0.5%)","651 ms (0%)","0.0 ms (0%)","30,507"
