"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.Scout$2.getPreferredSize ()","1,662 ms (0.5%)","953 ms (57.1%)","1,662 ms (0.2%)","953 ms (36.8%)","62"
"plugin.AppiumPlugin.byteArrayToBufferedImage (byte[])","335 ms (0.1%)","156 ms (9.4%)","335 ms (0%)","156 ms (6%)","14"
"com.symatiq.states.StateController.getRecommendedWidget ()","109 ms (0%)","109 ms (6.5%)","109 ms (0%)","109 ms (4.2%)","5,357,834"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","204 ms (0.1%)","89.2 ms (5.3%)","712 ms (0.1%)","58.2 ms (2.2%)","289,927"
"com.symatiq.widgets.Widget.compareTo (Object)","361 ms (0.1%)","82.9 ms (5%)","498 ms (0%)","91.3 ms (3.5%)","5,357,834"
"plugin.utils.Drawing.drawOval (java.awt.Graphics2D, int, int, int, int, java.awt.Color, int, boolean, java.awt.BasicStroke, java.awt.Font)","249 ms (0.1%)","30.5 ms (1.8%)","249 ms (0%)","30.5 ms (1.2%)","6,612"
"org.openqa.selenium.json.Input.read ()","411 ms (0.1%)","29.6 ms (1.8%)","562 ms (0.1%)","28.8 ms (1.1%)","7,402,931"
"com.symatiq.widgets.Widget.getArea ()","26.5 ms (0%)","22.7 ms (1.4%)","26.5 ms (0%)","22.7 ms (0.9%)","1,188,166"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$new$2 (java.util.LinkedHashMap, java.util.Map.Entry)","0.706 ms (0%)","15.6 ms (0.9%)","0.706 ms (0%)","15.6 ms (0.6%)","2,659"
"org.openqa.selenium.remote.RemoteWebDriver.getScreenshotAs (org.openqa.selenium.OutputType)","23.3 ms (0%)","15.6 ms (0.9%)","2,979 ms (0.3%)","0.0 ms (0%)","14"
"org.openqa.selenium.remote.codec.w3c.W3CHttpResponseCodec.decode (org.openqa.selenium.remote.http.HttpResponse)","4.58 ms (0%)","15.6 ms (0.9%)","932 ms (0.1%)","57.6 ms (2.2%)","542"
"org.openqa.selenium.json.JsonInput.readString ()","274 ms (0.1%)","15.6 ms (0.9%)","840 ms (0.1%)","43.5 ms (1.7%)","5,282"
"com.symatiq.states.AppState.containsProductVersion (String)","1.92 ms (0%)","15.4 ms (0.9%)","1.92 ms (0%)","15.4 ms (0.6%)","43,175"
"com.symatiq.states.AppState.getVisibleActions ()","16.1 ms (0%)","15.4 ms (0.9%)","16.1 ms (0%)","15.4 ms (0.6%)","47,682"
