"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.Scout$2.getPreferredSize ()","1,419 ms (0.7%)","796 ms (68%)","1,419 ms (0.2%)","796 ms (41.1%)","55"
"plugin.AppiumPlugin.byteArrayToBufferedImage (byte[])","183 ms (0.1%)","46.8 ms (4%)","183 ms (0%)","46.8 ms (2.4%)","8"
"com.symatiq.Scout$2.paintComponent (java.awt.Graphics)","328 ms (0.2%)","43.7 ms (3.7%)","1,259 ms (0.2%)","0.0 ms (0%)","1,779"
"com.symatiq.states.StateController.getRecommendedWidget ()","46.0 ms (0%)","38.1 ms (3.3%)","46.0 ms (0%)","38.1 ms (2%)","2,139,872"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","89.4 ms (0%)","27.2 ms (2.3%)","317 ms (0%)","22.2 ms (1.1%)","155,303"
"com.symatiq.widgets.Widget.getArea ()","17.1 ms (0%)","25.3 ms (2.2%)","17.1 ms (0%)","25.3 ms (1.3%)","813,332"
"com.symatiq.widgets.Widget.compareTo (Object)","159 ms (0.1%)","22.9 ms (2%)","222 ms (0%)","21.4 ms (1.1%)","2,139,872"
"org.openqa.selenium.remote.http.jdk.JdkHttpClient.execute0 (org.openqa.selenium.remote.http.HttpRequest)","76,200 ms (37.3%)","15.6 ms (1.3%)","76,257 ms (9.3%)","31.1 ms (1.6%)","1,145"
"org.openqa.selenium.remote.http.HttpResponse.getContentEncoding ()","0.311 ms (0%)","15.6 ms (1.3%)","22.6 ms (0%)","15.5 ms (0.8%)","1,145"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.lambda$createResponse$3 (org.openqa.selenium.remote.http.HttpResponse, String, String)","0.793 ms (0%)","15.6 ms (1.3%)","4.41 ms (0%)","15.6 ms (0.8%)","8,025"
"org.openqa.selenium.remote.codec.AbstractHttpCommandCodec.getParameter (String, String, org.openqa.selenium.remote.SessionId, java.util.Map)","1.93 ms (0%)","15.6 ms (1.3%)","3.70 ms (0%)","15.6 ms (0.8%)","3,182"
"org.openqa.selenium.remote.codec.AbstractHttpCommandCodec.encode (org.openqa.selenium.remote.Command)","2.66 ms (0%)","15.6 ms (1.3%)","22.3 ms (0%)","31.1 ms (1.6%)","1,145"
"org.openqa.selenium.json.JsonInput.readString ()","118 ms (0.1%)","15.6 ms (1.3%)","394 ms (0%)","15.5 ms (0.8%)","4,336"
"plugin.StateGraph.drawLine (java.awt.Graphics2D, int, int, int, int, java.awt.Color, java.awt.BasicStroke, java.awt.BasicStroke)","21.9 ms (0%)","15.5 ms (1.3%)","21.9 ms (0%)","15.5 ms (0.8%)","1,174"
"plugin.utils.Drawing.drawOval (java.awt.Graphics2D, int, int, int, int, java.awt.Color, int, boolean, java.awt.BasicStroke, java.awt.Font)","141 ms (0.1%)","15.2 ms (1.3%)","141 ms (0%)","15.2 ms (0.8%)","3,558"
