"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.Scout$2.getPreferredSize ()","786 ms (0.4%)","343 ms (29.9%)","786 ms (0.3%)","343 ms (30.9%)","90"
"com.symatiq.widgets.Widget.compareTo (Object)","837 ms (0.4%)","226 ms (19.7%)","1,140 ms (0.4%)","166 ms (15%)","15,288,008"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","513 ms (0.3%)","199 ms (17.4%)","1,663 ms (0.5%)","178 ms (16%)","348,510"
"com.symatiq.states.StateController.getRecommendedWidget ()","295 ms (0.2%)","153 ms (13.4%)","295 ms (0.1%)","153 ms (13.9%)","15,288,008"
"plugin.AugmentState.drawRectangle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, boolean, java.awt.BasicStroke, java.awt.BasicStroke)","101 ms (0.1%)","46.5 ms (4%)","102 ms (0%)","44.4 ms (4%)","751"
"com.symatiq.extension.PluginThreads.callMethod (String, String, java.awt.Graphics)","44.7 ms (0%)","44.5 ms (3.9%)","2,150 ms (0.7%)","0.0 ms (0%)","9,130"
"plugin.SeleniumPlugin.getSeleniumCapture ()","252 ms (0.1%)","15.6 ms (1.4%)","3,529 ms (1.1%)","0.0 ms (0%)","46"
"com.symatiq.extension.PluginThreads.startCallMethodThread (String, String, com.symatiq.actions.Action)","7.35 ms (0%)","15.6 ms (1.4%)","7.35 ms (0%)","15.6 ms (1.4%)","205"
"com.symatiq.actions.MoveAction.clone (com.symatiq.actions.MoveAction)","0.784 ms (0%)","15.6 ms (1.4%)","4.26 ms (0%)","27.9 ms (2.5%)","9,486"
"org.openqa.selenium.remote.RemoteWebDriver.execute (org.openqa.selenium.remote.CommandPayload)","4.5 ms (0%)","15.5 ms (1.4%)","5,442 ms (1.8%)","0.0 ms (0%)","192"
"com.symatiq.states.StateController.getMouseScaledX ()","0.268 ms (0%)","15.4 ms (1.3%)","0.429 ms (0%)","15.3 ms (1.4%)","1,785"
"com.symatiq.states.AppState.getLeafCount (java.util.IdentityHashMap)","2.0 ms (0%)","15.4 ms (1.3%)","10.3 ms (0%)","14.4 ms (1.3%)","9,512"
"com.symatiq.utils.QuickSort.quicksort (com.symatiq.widgets.Widget[], int, int)","46.2 ms (0%)","15.2 ms (1.3%)","1,710 ms (0.6%)","0.0 ms (0%)","700,360"
"com.symatiq.states.AppState.getUniqueId ()","2.57 ms (0%)","14.7 ms (1.3%)","2.57 ms (0%)","14.7 ms (1.3%)","38,905"
"org.openqa.selenium.json.Input.read ()","827 ms (0.4%)","12.1 ms (1.1%)","1,143 ms (0.4%)","10.4 ms (0.9%)","17,724,595"
"plugin.SeleniumPlugin.distance (com.symatiq.widgets.Widget, com.symatiq.widgets.Widget)","46.8 ms (0%)","0.0 ms (0%)","71.0 ms (0%)","0.0 ms (0%)","978,816"
"plugin.SeleniumPlugin.performAction (com.symatiq.actions.Action)","1.40 ms (0%)","0.0 ms (0%)","167 ms (0.1%)","0.0 ms (0%)","15"
"plugin.SeleniumPlugin.getCapture ()","0.183 ms (0%)","0.0 ms (0%)","5,934 ms (1.9%)","0.0 ms (0%)","45"
