"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.Scout$2.getPreferredSize ()","1,028 ms (0.5%)","531 ms (30.6%)","1,028 ms (0.3%)","531 ms (30.1%)","108"
"com.symatiq.states.StateController.getRecommendedWidget ()","386 ms (0.2%)","326 ms (18.8%)","386 ms (0.1%)","326 ms (18.5%)","20,941,978"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","712 ms (0.3%)","234 ms (13.5%)","2,246 ms (0.6%)","201 ms (11.4%)","465,614"
"com.symatiq.widgets.Widget.compareTo (Object)","1,125 ms (0.5%)","184 ms (10.6%)","1,520 ms (0.4%)","185 ms (10.5%)","20,941,978"
"plugin.SeleniumPlugin.getSeleniumCapture ()","279 ms (0.1%)","93.7 ms (5.4%)","4,116 ms (1.1%)","0.0 ms (0%)","55"
"com.symatiq.extension.PluginThreads.callMethod (String, String, java.awt.Graphics)","45.7 ms (0%)","59.1 ms (3.4%)","2,844 ms (0.8%)","0.0 ms (0%)","13,277"
"plugin.AugmentState.drawRectangle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, boolean, java.awt.BasicStroke, java.awt.BasicStroke)","115 ms (0.1%)","30.7 ms (1.8%)","117 ms (0%)","27.5 ms (1.6%)","868"
"com.symatiq.utils.QuickSort.quicksort (com.symatiq.widgets.Widget[], int, int)","60.9 ms (0%)","30.4 ms (1.8%)","2,307 ms (0.6%)","0.0 ms (0%)","936,074"
"com.symatiq.widgets.Widget.getArea ()","8.73 ms (0%)","29.1 ms (1.7%)","8.73 ms (0%)","29.1 ms (1.7%)","437,530"
"org.openqa.selenium.OutputType$3.save (byte[])","37.8 ms (0%)","15.6 ms (0.9%)","37.8 ms (0%)","15.6 ms (0.9%)","54"
"com.symatiq.extension.PluginThreads.startCallMethodThread (String, String, com.symatiq.actions.Action)","12.2 ms (0%)","15.6 ms (0.9%)","12.2 ms (0%)","15.6 ms (0.9%)","380"
"org.openqa.selenium.remote.http.Contents.bytes (org.openqa.selenium.remote.http.Contents.Supplier)","4.6 ms (0%)","15.6 ms (0.9%)","4.21 ms (0%)","15.5 ms (0.9%)","230"
"org.openqa.selenium.remote.http.HttpMessage.removeHeader (String)","0.913 ms (0%)","15.5 ms (0.9%)","0.990 ms (0%)","15.5 ms (0.9%)","405"
"org.openqa.selenium.remote.http.jdk.JdkHttpClient.execute0 (org.openqa.selenium.remote.http.HttpRequest)","4,161 ms (1.8%)","15.5 ms (0.9%)","4,184 ms (1.1%)","14.4 ms (0.8%)","230"
"plugin.StateGraph.drawText (java.awt.Graphics2D, String, int, int)","12.3 ms (0%)","15.4 ms (0.9%)","12.3 ms (0%)","15.4 ms (0.9%)","1,207"
"plugin.utils.Drawing.drawOval (java.awt.Graphics2D, int, int, int, int, java.awt.Color, int, boolean, java.awt.BasicStroke, java.awt.Font)","118 ms (0.1%)","15.3 ms (0.9%)","118 ms (0%)","15.3 ms (0.9%)","2,413"
"com.symatiq.states.AppState.covered (String, java.util.IdentityHashMap, java.util.List, java.util.List, boolean)","3.58 ms (0%)","15.2 ms (0.9%)","11.3 ms (0%)","11.5 ms (0.7%)","13,568"
"com.symatiq.utils.QuickSort.exchange (Object[], int, int)","12.1 ms (0%)","15.1 ms (0.9%)","12.1 ms (0%)","15.1 ms (0.9%)","606,186"
"com.symatiq.states.StateController.getWidgetsAt (com.symatiq.states.AppState, int, int)","11.1 ms (0%)","14.8 ms (0.9%)","2,316 ms (0.6%)","0.0 ms (0%)","3,585"
"com.symatiq.actions.MoveAction.clone (com.symatiq.actions.MoveAction)","0.920 ms (0%)","14.4 ms (0.8%)","4.80 ms (0%)","11.4 ms (0.6%)","11,246"
"com.symatiq.actions.Action.isIgnoredMetadata (String)","0.381 ms (0%)","13.9 ms (0.8%)","0.381 ms (0%)","13.9 ms (0.8%)","16,500"
"com.symatiq.actions.Action.getMetadata (String)","7.62 ms (0%)","12.2 ms (0.7%)","7.62 ms (0%)","12.2 ms (0.7%)","232,291"
"com.symatiq.states.Neighbor.compareTo (Object)","0.966 ms (0%)","11.8 ms (0.7%)","1.38 ms (0%)","9.99 ms (0.6%)","18,325"
"plugin.WidgetIdentifier.isTypeWidget (com.symatiq.widgets.Widget)","2.8 ms (0%)","11.1 ms (0.6%)","3.4 ms (0%)","7.77 ms (0.4%)","11,168"
"plugin.SeleniumPlugin.performAction (com.symatiq.actions.Action)","0.793 ms (0%)","0.0 ms (0%)","227 ms (0.1%)","0.0 ms (0%)","14"
"plugin.SeleniumPlugin.getCapture ()","0.289 ms (0%)","0.0 ms (0%)","7,099 ms (1.9%)","0.0 ms (0%)","55"
"plugin.SeleniumPlugin.getKeyText (char)","0.042 ms (0%)","0.0 ms (0%)","0.042 ms (0%)","0.0 ms (0%)","6"
