"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.Scout$2.getPreferredSize ()","1,064 ms (0.4%)","484 ms (39.5%)","1,064 ms (0.3%)","484 ms (30.7%)","114"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","619 ms (0.3%)","130 ms (10.6%)","1,946 ms (0.5%)","122 ms (7.7%)","522,367"
"com.symatiq.widgets.Widget.compareTo (Object)","966 ms (0.4%)","115 ms (9.4%)","1,311 ms (0.3%)","102 ms (6.5%)","17,312,677"
"com.symatiq.utils.QuickSort.quicksort (com.symatiq.widgets.Widget[], int, int)","70.1 ms (0%)","99.3 ms (8.1%)","2,017 ms (0.5%)","12.3 ms (0.8%)","1,050,302"
"com.symatiq.states.StateController.getRecommendedWidget ()","336 ms (0.1%)","89.2 ms (7.3%)","336 ms (0.1%)","89.2 ms (5.7%)","17,312,677"
"plugin.utils.Drawing.drawOval (java.awt.Graphics2D, int, int, int, int, java.awt.Color, int, boolean, java.awt.BasicStroke, java.awt.Font)","141 ms (0.1%)","46.5 ms (3.8%)","141 ms (0%)","46.5 ms (3%)","2,766"
"com.symatiq.states.AppState.getVisibleWidgets ()","11.6 ms (0%)","31.1 ms (2.5%)","11.6 ms (0%)","31.1 ms (2%)","20,728"
"com.symatiq.extension.PluginThreads.callMethod (String, String, java.awt.Graphics)","50.8 ms (0%)","27.3 ms (2.2%)","2,674 ms (0.7%)","0.0 ms (0%)","15,213"
"plugin.SeleniumPlugin.getSeleniumCapture ()","204 ms (0.1%)","15.6 ms (1.3%)","2,667 ms (0.7%)","0.0 ms (0%)","58"
"org.openqa.selenium.net.Urls.urlEncode (String)","1.48 ms (0%)","15.6 ms (1.3%)","1.48 ms (0%)","15.6 ms (1%)","231"
"org.openqa.selenium.remote.codec.w3c.W3CHttpResponseCodec.decode (org.openqa.selenium.remote.http.HttpResponse)","7.25 ms (0%)","15.5 ms (1.3%)","2,022 ms (0.5%)","0.0 ms (0%)","661"
"org.openqa.selenium.json.JsonOutput.getMethod (Class, String)","24.4 ms (0%)","15.5 ms (1.3%)","24.6 ms (0%)","15.4 ms (1%)","11,119"
"org.openqa.selenium.remote.RemoteWebElement.getAttribute (String)","0.236 ms (0%)","15.5 ms (1.3%)","524 ms (0.1%)","0.0 ms (0%)","187"
"plugin.StateGraph.drawCircle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, java.awt.BasicStroke, java.awt.BasicStroke, boolean)","153 ms (0.1%)","15.4 ms (1.3%)","153 ms (0%)","15.4 ms (1%)","10,349"
"org.openqa.selenium.json.JsonOutput.lambda$asString$34 (StringBuilder, int)","42.5 ms (0%)","15.3 ms (1.3%)","42.5 ms (0%)","15.3 ms (1%)","1,819,050"
"com.symatiq.states.AppState.containIssues ()","0.908 ms (0%)","15.3 ms (1.3%)","6.93 ms (0%)","15.2 ms (1%)","8,966"
"com.symatiq.Scout.getMouseY ()","0.588 ms (0%)","15.3 ms (1.3%)","0.945 ms (0%)","15.1 ms (1%)","1,395"
"com.symatiq.utils.QuickSort.exchange (Object[], int, int)","15.7 ms (0%)","15.2 ms (1.2%)","15.7 ms (0%)","15.2 ms (1%)","760,078"
"com.symatiq.states.StateController.findRecommendedWidget (com.symatiq.states.AppState)","0.813 ms (0%)","15.1 ms (1.2%)","4.57 ms (0%)","13.7 ms (0.9%)","1,383"
"plugin.HoverInfo.drawTextBox (java.awt.Graphics2D, String, int, int, int, int)","10.1 ms (0%)","15.1 ms (1.2%)","22.0 ms (0%)","12.9 ms (0.8%)","792"
"plugin.StateGraph.drawGraph (java.awt.Graphics2D, com.symatiq.states.AppState, int, int)","8.73 ms (0%)","14.0 ms (1.1%)","233 ms (0.1%)","0.0 ms (0%)","10,349"
"plugin.SeleniumPlugin.object2Long (Object)","2.78 ms (0%)","3.52 ms (0.3%)","2.78 ms (0%)","3.52 ms (0.2%)","116,604"
"plugin.SeleniumPlugin.performAction (com.symatiq.actions.Action)","1.69 ms (0%)","0.0 ms (0%)","559 ms (0.1%)","11.8 ms (0.7%)","9"
"plugin.SeleniumPlugin.getCapture ()","0.331 ms (0%)","0.0 ms (0%)","7,662 ms (2%)","0.0 ms (0%)","58"
"plugin.SeleniumPlugin.distance (com.symatiq.widgets.Widget, com.symatiq.widgets.Widget)","92.1 ms (0%)","0.0 ms (0%)","139 ms (0%)","0.0 ms (0%)","1,963,041"
"plugin.SeleniumPlugin.changeState ()","0.007 ms (0%)","0.0 ms (0%)","0.019 ms (0%)","0.0 ms (0%)","4"
