"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.Scout$2.getPreferredSize ()","891 ms (0.4%)","562 ms (33.6%)","891 ms (0.2%)","562 ms (23.2%)","104"
"com.symatiq.states.StateController.getRecommendedWidget ()","306 ms (0.1%)","252 ms (15.1%)","306 ms (0.1%)","252 ms (10.4%)","16,272,836"
"com.symatiq.widgets.Widget.compareTo (Object)","922 ms (0.4%)","191 ms (11.5%)","1,237 ms (0.3%)","236 ms (9.8%)","16,272,836"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","558 ms (0.2%)","121 ms (7.3%)","1,813 ms (0.5%)","186 ms (7.7%)","489,587"
"com.symatiq.utils.QuickSort.quicksort (com.symatiq.widgets.Widget[], int, int)","65.6 ms (0%)","99.8 ms (6%)","1,879 ms (0.5%)","0.0 ms (0%)","984,906"
"plugin.StateGraph.drawCircle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, java.awt.BasicStroke, java.awt.BasicStroke, boolean)","133 ms (0.1%)","46.7 ms (2.8%)","133 ms (0%)","46.7 ms (1.9%)","9,628"
"plugin.SeleniumPlugin.getSeleniumCapture ()","186 ms (0.1%)","31.2 ms (1.9%)","2,315 ms (0.6%)","0.0 ms (0%)","53"
"com.symatiq.states.AppState.containIssues ()","0.875 ms (0%)","30.9 ms (1.8%)","6.18 ms (0%)","30.7 ms (1.3%)","8,196"
"com.symatiq.states.AppState.getLeafCount (java.util.IdentityHashMap)","6.28 ms (0%)","30.9 ms (1.8%)","28.4 ms (0%)","23.8 ms (1%)","40,979"
"com.symatiq.Scout$2.paintComponent (java.awt.Graphics)","223 ms (0.1%)","28.7 ms (1.7%)","2,784 ms (0.8%)","0.0 ms (0%)","1,432"
"org.openqa.selenium.remote.http.AddSeleniumUserAgent.lambda$apply$0 (org.openqa.selenium.remote.http.HttpHandler, org.openqa.selenium.remote.http.HttpRequest)","0.632 ms (0%)","15.6 ms (0.9%)","4,864 ms (1.3%)","44.7 ms (1.8%)","711"
"org.openqa.selenium.remote.RemoteWebDriver.execute (org.openqa.selenium.remote.CommandPayload)","8.28 ms (0%)","15.6 ms (0.9%)","6,907 ms (1.9%)","49.9 ms (2.1%)","711"
"org.openqa.selenium.remote.http.AddSeleniumUserAgent.apply (Object)","0.190 ms (0%)","15.6 ms (0.9%)","0.682 ms (0%)","15.5 ms (0.6%)","711"
"org.openqa.selenium.remote.http.HttpMessage.forEachHeader (java.util.function.BiConsumer)","0.817 ms (0%)","15.6 ms (0.9%)","5.41 ms (0%)","15.5 ms (0.6%)","711"
