"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.states.StateController.getRecommendedWidget ()","409 ms (0.3%)","395 ms (22.9%)","409 ms (0.2%)","395 ms (23.8%)","23,262,462"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","818 ms (0.5%)","385 ms (22.4%)","2,625 ms (1%)","307 ms (18.6%)","305,760"
"com.symatiq.widgets.Widget.compareTo (Object)","1,366 ms (0.9%)","364 ms (21.1%)","1,797 ms (0.7%)","398 ms (24.1%)","23,262,462"
"com.symatiq.Scout$2.getPreferredSize ()","502 ms (0.3%)","281 ms (16.3%)","502 ms (0.2%)","281 ms (17%)","58"
"com.symatiq.Scout$2.paintComponent (java.awt.Graphics)","241 ms (0.2%)","76.7 ms (4.5%)","3,246 ms (1.2%)","0.0 ms (0%)","774"
"com.symatiq.widgets.Widget.getArea ()","20.6 ms (0%)","63.6 ms (3.7%)","20.6 ms (0%)","63.6 ms (3.8%)","1,145,940"
"plugin.SeleniumPlugin.findClosest (java.awt.Rectangle, java.awt.Rectangle)","206 ms (0.1%)","31.6 ms (1.8%)","206 ms (0.1%)","31.6 ms (1.9%)","7,780,254"
"plugin.SeleniumPlugin.addContains (com.symatiq.widgets.Widget, java.util.List)","30.2 ms (0%)","28.4 ms (1.7%)","31.8 ms (0%)","27.0 ms (1.6%)","13,399"
"com.symatiq.extension.PluginThreads.startCallMethodThread (String, String, com.symatiq.actions.Action)","25.4 ms (0%)","15.6 ms (0.9%)","25.4 ms (0%)","15.6 ms (0.9%)","835"
"plugin.SeleniumPlugin.getSeleniumCapture ()","121 ms (0.1%)","15.6 ms (0.9%)","1,590 ms (0.6%)","0.0 ms (0%)","30"
"plugin.AugmentState.drawRectangle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, boolean, java.awt.BasicStroke, java.awt.BasicStroke)","30.0 ms (0%)","15.4 ms (0.9%)","31.0 ms (0%)","14.5 ms (0.9%)","248"
"plugin.utils.Drawing.drawOval (java.awt.Graphics2D, int, int, int, int, java.awt.Color, int, boolean, java.awt.BasicStroke, java.awt.Font)","60.1 ms (0%)","15.4 ms (0.9%)","60.1 ms (0%)","15.4 ms (0.9%)","1,548"
"com.symatiq.states.AppState.getUniqueId ()","3.46 ms (0%)","14.0 ms (0.8%)","3.46 ms (0%)","14.0 ms (0.8%)","43,651"
"com.symatiq.extension.PluginThreads.callMethod (String, String, java.awt.Graphics)","34.8 ms (0%)","13.4 ms (0.8%)","2,961 ms (1.1%)","0.0 ms (0%)","8,514"
"plugin.SeleniumPlugin.isValidText (String)","4.93 ms (0%)","3.73 ms (0.2%)","4.93 ms (0%)","3.73 ms (0.2%)","127,328"
"org.openqa.selenium.json.JsonInput.readString ()","640 ms (0.4%)","3.30 ms (0.2%)","1,958 ms (0.7%)","0.0 ms (0%)","196"
"plugin.SeleniumPlugin.distance (com.symatiq.widgets.Widget, com.symatiq.widgets.Widget)","411 ms (0.3%)","0.0 ms (0%)","617 ms (0.2%)","1.34 ms (0.1%)","7,780,254"
"plugin.SeleniumPlugin.getKeyText (char)","0.031 ms (0%)","0.0 ms (0%)","0.031 ms (0%)","0.0 ms (0%)","9"
"plugin.SeleniumPlugin.performAction (com.symatiq.actions.Action)","0.539 ms (0%)","0.0 ms (0%)","381 ms (0.1%)","4.24 ms (0.3%)","13"
"plugin.SeleniumPlugin.getCapture ()","0.421 ms (0%)","0.0 ms (0%)","5,934 ms (2.2%)","0.0 ms (0%)","30"
"plugin.SeleniumPlugin.isOverlapping (java.util.List, com.symatiq.widgets.Widget)","2.1 ms (0%)","0.0 ms (0%)","2.1 ms (0%)","0.0 ms (0%)","2,738"
"plugin.SeleniumPlugin.changeState ()","0.005 ms (0%)","0.0 ms (0%)","0.010 ms (0%)","0.0 ms (0%)","3"
"plugin.SeleniumPlugin.insertWidget (com.symatiq.widgets.Widget, com.symatiq.states.AppState)","0.012 ms (0%)","0.0 ms (0%)","2.69 ms (0%)","0.0 ms (0%)","8"
"plugin.SeleniumPlugin.findWebElement (com.symatiq.widgets.Widget)","0.003 ms (0%)","0.0 ms (0%)","25.6 ms (0%)","0.0 ms (0%)","4"
"plugin.SeleniumPlugin.typeSelenium (org.openqa.selenium.WebElement, String)","0.467 ms (0%)","0.0 ms (0%)","36.5 ms (0%)","0.0 ms (0%)","1"
"plugin.SeleniumPlugin.clickWebElement (org.openqa.selenium.WebElement)","0.883 ms (0%)","0.0 ms (0%)","306 ms (0.1%)","0.0 ms (0%)","2"
"plugin.SeleniumPlugin.getTypeWidget (java.awt.Point, String)","0.008 ms (0%)","0.0 ms (0%)","1.37 ms (0%)","0.0 ms (0%)","1"
"plugin.SeleniumPlugin.getTypeWidget (java.awt.Point)","0.002 ms (0%)","0.0 ms (0%)","1.23 ms (0%)","0.0 ms (0%)","1"
"plugin.SeleniumPlugin.performTypeAction (java.awt.Point)","0.030 ms (0%)","0.0 ms (0%)","44.8 ms (0%)","0.0 ms (0%)","1"
"plugin.SeleniumPlugin.object2Long (Object)","3.69 ms (0%)","0.0 ms (0%)","3.69 ms (0%)","0.0 ms (0%)","125,732"
"plugin.SeleniumPlugin.getVisibleText (com.symatiq.widgets.Widget)","16.0 ms (0%)","0.0 ms (0%)","30.3 ms (0%)","0.0 ms (0%)","115,149"
"plugin.SeleniumPlugin.object2String (Object)","15.8 ms (0%)","0.0 ms (0%)","15.8 ms (0%)","0.0 ms (0%)","534,361"
"plugin.SeleniumPlugin.typeSeleniumKeyTag (org.openqa.selenium.WebElement, String, StringBuffer)","0.009 ms (0%)","0.0 ms (0%)","0.009 ms (0%)","0.0 ms (0%)","10"
"plugin.SeleniumPlugin.addCheckWidget (com.symatiq.widgets.Widget, java.util.List, String, String, String)","2.6 ms (0%)","0.0 ms (0%)","5.22 ms (0%)","0.0 ms (0%)","6,179"
"plugin.SeleniumPlugin.containsNeighbor (java.util.List, int, int, int, int)","8.67 ms (0%)","0.0 ms (0%)","8.67 ms (0%)","0.0 ms (0%)","208,220"
"plugin.SeleniumPlugin.findWebElementInt (com.symatiq.widgets.Widget)","0.017 ms (0%)","0.0 ms (0%)","25.6 ms (0%)","0.0 ms (0%)","4"
"plugin.SeleniumPlugin.addPageContent (java.util.List)","1.1 ms (0%)","0.0 ms (0%)","1.4 ms (0%)","0.0 ms (0%)","29"
"plugin.SeleniumPlugin.addNeighbors (com.symatiq.widgets.Widget, java.util.List)","332 ms (0.2%)","0.0 ms (0%)","1,005 ms (0.4%)","0.0 ms (0%)","13,399"
"plugin.SeleniumPlugin.createCaptureAndReplaceWidgets ()","0.171 ms (0%)","0.0 ms (0%)","5,747 ms (2.1%)","0.0 ms (0%)","30"
"plugin.SeleniumPlugin.checkAllowedToInsert ()","0.002 ms (0%)","0.0 ms (0%)","0.426 ms (0%)","0.0 ms (0%)","16"
"plugin.SeleniumPlugin.loadCookiesForCurrentState ()","0.002 ms (0%)","0.0 ms (0%)","0.004 ms (0%)","0.0 ms (0%)","3"
"plugin.SeleniumPlugin.insertWidgetAfterChange (com.symatiq.widgets.Widget)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","3"
"plugin.SeleniumPlugin.verifyAndReplaceWidgets (java.util.List)","0.585 ms (0%)","0.0 ms (0%)","5.5 ms (0%)","0.0 ms (0%)","29"
"plugin.SeleniumPlugin.getAvailableWidgets ()","80.0 ms (0.1%)","0.0 ms (0%)","4,149 ms (1.5%)","0.0 ms (0%)","30"
"org.openqa.selenium.remote.ElementLocation$ElementFinder.massage (org.openqa.selenium.remote.RemoteWebDriver, org.openqa.selenium.SearchContext, org.openqa.selenium.WebElement, org.openqa.selenium.By)","0.018 ms (0%)","0.0 ms (0%)","0.176 ms (0%)","0.0 ms (0%)","4"
"com.symatiq.extension.PluginThreads$CallMethodThread.run ()","0.038 ms (0%)","0.0 ms (0%)","1.80 ms (0%)","0.0 ms (0%)","55"
"org.openqa.selenium.json.JsonOutput$Root.write (String)","0.051 ms (0%)","0.0 ms (0%)","0.210 ms (0%)","0.0 ms (0%)","98"
"com.symatiq.actions.MoveAction.clone (com.symatiq.actions.MoveAction)","0.868 ms (0%)","0.0 ms (0%)","4.41 ms (0%)","0.0 ms (0%)","10,435"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$new$0 (Number)","0.058 ms (0%)","0.0 ms (0%)","0.058 ms (0%)","0.0 ms (0%)","60"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$new$2 (java.util.LinkedHashMap, java.util.Map.Entry)","0.320 ms (0%)","0.0 ms (0%)","0.320 ms (0%)","0.0 ms (0%)","132"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$buildCoercer$6 (java.util.function.BiFunction, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","0.718 ms (0%)","0.0 ms (0%)","1,966 ms (0.7%)","0.0 ms (0%)","524"
"org.openqa.selenium.json.JsonTypeCoercer.coerce (org.openqa.selenium.json.JsonInput, java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting)","0.796 ms (0%)","0.0 ms (0%)","1,967 ms (0.7%)","0.0 ms (0%)","524"
