"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.Scout$2.getPreferredSize ()","387 ms (0.4%)","156 ms (23.5%)","387 ms (0.2%)","156 ms (15.1%)","44"
"com.symatiq.widgets.Widget.compareTo (Object)","401 ms (0.4%)","154 ms (23.2%)","537 ms (0.3%)","135 ms (13%)","6,894,916"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","241 ms (0.3%)","99.7 ms (15%)","786 ms (0.5%)","137 ms (13.3%)","231,202"
"com.symatiq.states.StateController.getRecommendedWidget ()","131 ms (0.1%)","65.2 ms (9.8%)","131 ms (0.1%)","65.2 ms (6.3%)","6,894,916"
"org.openqa.selenium.json.Input.read ()","241 ms (0.3%)","22.0 ms (3.3%)","336 ms (0.2%)","5.75 ms (0.6%)","4,930,889"
"org.openqa.selenium.interactions.Actions.moveInTicks (org.openqa.selenium.WebElement, int, int)","0.539 ms (0%)","15.6 ms (2.4%)","3.81 ms (0%)","15.6 ms (1.5%)","5"
"org.openqa.selenium.json.JsonOutput.getMethod (Class, String)","12.4 ms (0%)","15.6 ms (2.3%)","12.6 ms (0%)","15.5 ms (1.5%)","5,201"
"plugin.StateGraph.drawCircle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, java.awt.BasicStroke, java.awt.BasicStroke, boolean)","42.7 ms (0%)","15.5 ms (2.3%)","42.7 ms (0%)","15.5 ms (1.5%)","2,815"
"org.openqa.selenium.remote.http.jdk.JdkHttpClient.execute0 (org.openqa.selenium.remote.http.HttpRequest)","2,763 ms (3.1%)","15.5 ms (2.3%)","2,787 ms (1.8%)","14.6 ms (1.4%)","335"
"org.openqa.selenium.remote.codec.AbstractHttpCommandCodec.getParameter (String, String, org.openqa.selenium.remote.SessionId, java.util.Map)","0.803 ms (0%)","15.5 ms (2.3%)","2.7 ms (0%)","15.5 ms (1.5%)","495"
"plugin.utils.Drawing.drawOval (java.awt.Graphics2D, int, int, int, int, java.awt.Color, int, boolean, java.awt.BasicStroke, java.awt.Font)","64.3 ms (0.1%)","15.4 ms (2.3%)","64.3 ms (0%)","15.4 ms (1.5%)","1,860"
"plugin.StateGraph.paintCapture (java.awt.Graphics)","1.25 ms (0%)","15.0 ms (2.3%)","73.5 ms (0%)","21.0 ms (2%)","930"
